 0 0  00 30 09  -46 31 22  14.651 
 0 0  00 30 16  -46 27 55  12.334 
 0 0  00 30 17  -46 32 34  14.376 
 0 0  00 30 18  -46 31 11  13.118 
 0 0  00 30 19  -46 24 36  11.630 
 0 0  00 30 50  -46 33 33  12.474 
 0 0  00 31 05  -46 22 43  10.442 
 0 0  00 31 50  +02 38 26  15.268 
 0 0  00 42 05  +05 09 44  12.877 
 0 0  00 53 14  +00 46 02  13.842 
 0 0  00 53 16  +00 36 18  10.595 
 0 0  00 53 47  +00 47 33  12.676 
 0 0  00 54 16  +00 39 51  13.818 
 0 0  00 54 31  +00 40 15  15.346 
 0 0  00 54 34  +00 41 05  14.325 
 0 0  00 54 37  +00 38 56  13.178 
 0 0  00 54 44  +00 43 26  15.073 
 0 0  00 54 48  +00 39 23  14.932 
 0 0  00 54 52  +00 40 20  14.085 
 0 0  00 55 00  +00 44 13  12.523 
 0 0  00 55 03  +00 44 11  15.579 
 0 0  00 55 10  +00 43 14  11.613 
 0 0  00 55 10  +00 23 12  14.751 
 0 0  00 55 14  +00 56 07  10.627 
 0 0  00 55 15  +01 01 49  14.984 
 0 0  00 55 16  +01 01 53  15.036 
 0 0  00 55 22  +00 40 30  14.997 
 0 0  00 55 24  +00 51 07  15.216 
 0 0  00 55 26  +00 50 49  15.752 
 0 0  00 55 29  +00 37 07  15.071 
 0 0  00 55 30  +00 44 34  12.109 
 0 0  00 55 32  +00 53 07  15.922 
 0 0  00 55 40  +00 36 18  11.782 
 0 0  00 55 54  +01 11 42  13.642 
 0 0  00 55 57  +01 10 40  14.408 
 0 0  00 55 58  +01 10 24  15.841 
 0 0  00 55 59  +00 52 58  13.941 
 0 0  00 56 00  +01 10 52  12.958 
 0 0  00 56 00  +00 52 53  14.466 
 0 0  00 56 06  +00 50 47  14.965 
 0 0  00 56 07  +01 00 18  14.953 
 0 0  00 56 08  +01 04 24  11.812 
 0 0  00 56 16  +00 53 16  14.440 
 0 0  00 56 27  +00 41 53  12.036 
 0 0  00 56 47  +00 38 29  12.969 
 0 0  00 56 51  +01 09 35  11.679 
 0 0  00 56 51  +01 05 58  11.332 
 0 0  00 56 53  +00 44 02  11.673 
 0 0  00 56 54  +01 00 43  11.667 
 0 0  00 57 17  +00 36 46  11.630 
 0 0  01 04 22  +04 13 37  12.065 
 0 0  01 54 08  -06 42 54  12.406 
 0 0  01 54 37  +00 53 49  11.971 
 0 0  01 54 38  +00 43 00  11.546 
 0 0  01 55 05  +00 45 44  12.011 
 0 0  01 55 26  +00 56 43  11.620 
 0 0  02 00 09  +13 04 04  12.298 
 0 0  02 23 34  +13 28 07  14.216 
 0 0  02 23 38  +13 27 38  14.760 
 0 0  02 23 39  +13 27 33  15.771 
 0 0  02 30 17  +05 15 51  12.799 
 0 0  02 33 28  +05 19 44  13.804 
 0 0  02 33 33  +05 19 28  14.027 
 0 0  02 33 40  +05 17 38  12.772 
 0 0  02 33 41  +05 20 19  13.702 
 0 0  02 33 41  +05 18 40  16.105 
 0 0  02 33 45  +05 17 30  14.735 
 0 0  02 35 08  +03 43 57  12.411 
 0 0  02 53 38  +00 17 19  12.659 
 0 0  02 55 20  +00 28 14  12.255 
 0 0  02 56 14  +00 35 10  12.273 
 0 0  02 56 31  +00 40 05  14.293 
 0 0  02 57 21  +00 18 38  11.728 
 0 0  02 57 46  +00 16 02  11.204 
 0 0  02 58 13  +01 10 53  11.594 
 0 0  03 48 50  -00 58 33  14.063 
 0 0  03 52 40  -00 05 22  11.302 
 0 0  03 52 41  +00 31 21  11.216 
 0 0  03 52 41  -00 05 06  14.313 
 0 0  03 52 42  +00 31 18  11.694 
 0 0  03 52 54  +00 00 19  10.010 
 0 0  03 52 57  -00 00 20  14.818 
 0 0  03 53 00  +00 02 52  14.448 
 0 0  03 53 01  +00 00 13  15.633 
 0 0  03 53 04  +00 02 53  12.677 
 0 0  03 53 07  +00 01 09  15.622 
 0 0  03 53 11  +00 27 19  15.394 
 0 0  03 53 13  +00 16 20  12.627 
 0 0  03 53 20  +00 16 31  14.338 
 0 0  03 53 21  -00 00 20  13.574 
 0 0  03 53 25  +00 02 18  16.275 
 0 0  03 53 25  +00 01 22  15.137 
 0 0  03 53 40  -00 01 13  15.502 
 0 0  03 53 41  -00 02 31  14.060 
 0 0  03 53 44  +00 29 50  13.449 
 0 0  03 53 44  -00 04 33  15.606 
 0 0  03 53 47  +00 26 38  12.679 
 0 0  03 53 48  -00 00 48  14.680 
 0 0  03 53 49  -00 03 01  10.803 
 0 0  03 54 17  +00 18 49  13.669 
 0 0  03 54 19  +00 36 28  13.525 
 0 0  03 54 24  +00 37 07  14.617 
 0 0  03 54 31  +00 29 05  12.174 
 0 0  03 54 44  +00 27 20  13.479 
 0 0  03 54 46  +00 25 54  14.118 
 0 0  03 54 49  -00 07 05  13.429 
 0 0  03 54 50  +00 10 08  12.095 
 0 0  03 54 51  +00 05 21  12.064 
 0 0  03 55 00  -00 02 55  13.538 
 0 0  03 55 04  +00 03 33  14.440 
 0 0  03 55 05  +00 03 13  12.196 
 0 0  03 55 07  -00 09 31  12.892 
 0 0  03 55 08  +00 14 35  15.779 
 0 0  03 55 09  +00 01 19  12.927 
 0 0  03 55 31  -00 09 13  11.531 
 0 0  03 55 39  +00 10 43  14.216 
 0 0  03 55 42  +00 26 34  13.669 
 0 0  03 55 44  +00 07 05  10.938 
 0 0  03 55 46  +00 23 40  15.561 
