#001 -30.3144 -149.567  210.8  % ATCA Narrabri, Australia                
#002 50.7842 -6.0525  215.0  % Aachen, Germany                         
#003 57.2069 2.20889   -1.0  % Aberdeen, Scotland                      
#004 32.4514 99.7308  521.2  % Abilene, Texas                          
005 -34.9167 -138.583   -1.0  % Adelaide
#006 41.0833 81.5122  266.4  % Akron, Ohio                             
#007 42.6503 73.7503    6.1  % Albany, New York                        
008 35.0836 106.651 1507.2  % Albuquerque, NM
009 -23.8083 -133.901   1789  % Alice Springs
#010 40.4833 80.0167    380  % Allegheny Observatory                   
#011 40.6031 75.4683   77.7  % Allentown, Pennsylvania                 
#012 40.5153 78.4008  359.7  % Altoona, Pennsylvania                   
#013 35.2075 101.834 1123.2  % Amarillo, Texas                         
#014 52.3667 -4.9   -1.0  % Amsterdam, Netherlands                  
015 61.1667 149.983   36.0  % Anchorage, AK
#016 -31.2772 -149.066   1164  % Anglo-Australian Observatory            
#017 42.2831 83.7478  268.2  % Ann Arbor, Michigan                     
#018 51.1711 -4.40583   -1.0  % Antwerp, Belgium                        
#019 52.4833 -13.4833     41  % Archenhold-Sternwarte                   
020 18.3539 66.7553    496  % Arecibo, Puerto Rico     
#021 38.8667 77.1167    9.1  % Arlington, Virginia                     
#022 35.595 82.5572  605.0  % Asheville, North Carolina               
#023 38.4767 82.6397  163.4  % Ashland, Kentucky                       
#024 48.2333 -16.3333    241  % Astronomisches Inst. Univ. Obs.         
#025 32.7833 105.817   2800  % Astrophys. Research Consortium (ARC)    
#026 37.9667 -23.7333   91.4  % Athens
027 33.7528 84.3936  320.0  % Atlanta, GA                        
#028 39.3589 74.4314    3.0  % Atlantic City, New Jersey               
#029 33.4722 81.9667   43.6  % Augusta, Georgia                        
#030 44.3147 69.7747   13.7  % Augusta, Maine                          
031 30.2692 97.7436  153.9  % Austin, TX                           
###032 40.8167 121.467  1043.0 % BIMA, Hat Creek, California             
#033 35.3753 119.022  121.9  % Bakersfield, California                 
#034 39.2933 76.6125    6.1  % Baltimore, Maryland                     
035 13.7333 -100.5   -1.0  % Bangkok
#036 44.8036 68.7717    6.1  % Bangor, Maine                           
037 41.3833 -2.15   -1.0  % Barcelona
#038 30.4494 91.1833   17.4  % Baton Rouge, Louisiana                  
#039 42.3161 85.18  249.9  % Battle Creek, Michigan                  
040 43.6667 -40   -1.0  % Batumi
#041 43.6011 83.8875  181.4  % Bay City, Michigan                      
#042 30.0889 94.1025    6.1  % Beaumont, Texas                         
043 39.9 -116.467  182.9  % Beijing
#044 33.9 -35.4667   -1.0  % Beirut, Lebanon                         
045 54.5833 5.83333   -1.0  % Belfast
#046 48.7594 122.477   18.3  % Bellingham, Washington                  
#047 -31.9786 -115.815   -1.0  % Bentley WA, Australia                   
#048 37.8694 122.271   12.2  % Berkeley, CA
049 52.5333 -13.4167   33.5  % Berlin
#050 40.6211 75.3761   71.6  % Bethlehem, Pennsylvania                 
#051 45.7833 108.501  951.0  % Billings, Montana                       
#052 30.3967 88.8833    6.1  % Biloxi, Mississippi                     
#053 42.1008 75.9131  263.7  % Binghamton, New York                    
054 33.5169 86.81  182.9  % Birmingham, AL
#055 34.6722 -133.544  400    % Bisei Spaceguard Center                 
#056 46.8064 100.788  510.2  % Bismarck, North Dakota                  
#057 40.4828 88.9933  243.8  % Bloomington, Illinois                   
058 4.63333 74.0833   -1.0  % Bogota
#059 43.6186 116.199  824.2  % Boise, Idaho                            
060 19.0842 -72.8508   -1.0  % Bombay
061 50.6667 -7.1   50.0  % Bonn
#062 44.8333 0.583333   -1.0  % Bordeaux, France                        
063 42.3567 71.0569    6.4  % Boston, MA
